uniform_number,last_name_ja,first_name_ja,birthday
12,矢澤,宏太,2000-08-02
13,生天目,翼,1995-02-19
14,加藤,貴之,1992-06-03
15,上沢,直之,1994-02-06
16,達,孝太,2004-03-27
17,伊藤,大海,1997-08-31
18,吉田,輝星,2001-01-12
19,玉井,大翔,1992-06-16
20,上原,健太,1994-03-29
22,杉浦,稔大,1992-02-25
24,金村,尚真,2000-08-29
25,宮西,尚生,1985-06-02
